,Contrato,Dirección,tipo,calle,NUMERO,PISO,Nº Serie Contador Esf.1,xcoord,ycoord,localId,USO 2020,2020-1,2020-2,2020-3,2020-4,USO 2018,2018-1,2018-2,2018-3,USO 2019,2019-1,2019-2,2019-3
1214,9955561,GABRIEL Y GALAN 18,DOMESTICO,GABRIEL Y GALAN,18.0,S/N,14-105688,-6.419816211594788,39.5586256520215,10.050.12.18.1924129QD2812S,47.0,36.0,39.0,32.0,,12.0,51.0,51.0,233.0,49.0,41.0,35.0,34.0
1215,10000393,CUATRO LUGARES 8,DOMESTICO,CUATRO LUGARES,8.0,S/N,N03252836,-6.415758186459349,39.55445963164828,10.050.85.8.2219103QD2821N,31.0,46.0,42.0,34.0,,1.0,29.0,33.0,34.0,32.0,29.0,41.0,35.0
1216,10033327,"CHARCA, RDA. 12 C",DOMESTICO,CHARCA,12.0,C,J411084,-6.421668635071352,39.55750180404551,10.050.8.12.1723505QD2812S,31.0,28.0,31.0,33.0,,5.0,3.0,40.0,35.0,32.0,29.0,31.0,26.0
1217,10036050,"SOLEDAD, RDA. 77",OBRAS,SOLEDAD,77.0,S/N,6114998,-6.420719056679894,39.562458796700405,10.050.52.77.1828607QD2812N,4.0,3.0,13.0,10.0,,0.0,0.0,30.0,22.0,4.0,5.0,13.0,5.0
1218,10039368,"VALLE DEL JERTE, DEL 25",DOMESTICO,VALLE DEL JERTE DEL,25.0,S/N,K009238,-6.416079991731426,39.560926146911775,10.050.179.25.2126618QD2822N,19.0,19.0,40.0,35.0,,2.0,3.0,13.0,24.0,20.0,27.0,26.0,27.0
1219,10039589,BARRIONUEVO ALTO 29,DOMESTICO,BARRIONUEVO ALTO,29.0,S/N,61223655,-6.417136161366972,39.55896784276705,10.050.70.29.2125415QD2822N,25.0,31.0,28.0,31.0,,0.0,0.0,12.0,24.0,25.0,26.0,24.0,26.0
1220,10056100,AV.EJIDO DE ABAJO 92,DOMESTICO,EJIDO DE ABAJO,92.0,S/N,M040699,-6.4177441036087135,39.56251166453953,10.050.176.92.2027510QD2822N,28.0,45.0,39.0,27.0,,2.0,3.0,17.0,30.0,30.0,29.0,25.0,29.0
1221,10059577,LARGA BAJA 77,DOMESTICO,LARGA BAJA,77.0,S/N,17-269119,-6.418962309276617,39.56196030740135,10.050.41.77.1927309QD2812N,26.0,37.0,26.0,27.0,,0.0,0.0,5.0,7.0,5.0,14.0,25.0,23.0
1222,10061707,SANTIAGO 35,DOMESTICO,SANTIAGO,35.0,S/N,17-269449,-6.419624931744212,39.56094291635263,10.050.32.35.1927520QD2812N,33.0,0.0,2.0,31.0,,0.0,0.0,7.0,49.0,33.0,88.0,1.0,7.0
1223,10075124,BARRIONUEVO BAJO 41,DOMESTICO,BARRIONUEVO BAJO,41.0,S/N,J305716,-6.417084259497968,39.558651117321865,10.050.70.41.2223826QD2822S,2.0,0.0,7.0,5.0,,7.0,10.0,0.0,0.0,3.0,0.0,0.0,14.0
1224,10099083,LARGA BAJA 102,DOMESTICO,LARGA BAJA,102.0,S/N,81149036,-6.419916922961226,39.5638505136722,10.050.41.102.1829602QD2812N,17.0,40.0,30.0,32.0,,0.0,0.0,0.0,26.0,17.0,0.0,48.0,21.0
1225,10111733,MALVINAS 46,DOMESTICO,MALVINAS,46.0,S/N,2862818,-6.418675490175813,39.55256091645985,10.050.130.46.2017215QD2821N,0.0,62.0,24.0,25.0,,0.0,1.0,0.0,98.0,0.0,15.0,21.0,22.0
1226,10112118,AV.CONSTITUCION 66,COMERCIAL,CONSTITUCION,66.0,S/N,U1-0001,-6.42088975265947,39.55950352183269,10.050.42.66.1825011QD2812N,27.0,22.0,21.0,21.0,,27.0,22.0,27.0,24.0,29.0,25.0,28.0,26.0
1227,10112267,LARGA BAJA 4 2º,DOMESTICO,LARGA BAJA,4.0,2º,97070164,-6.418206274493296,39.55977422170696,10.050.41.4.2125753QD2822N,5.0,7.0,3.0,5.0,,0.0,0.0,3.0,8.0,6.0,7.0,7.0,6.0
1228,10122208,CANTARRANA 27,DOMESTICO,CANTARRANA,27.0,S/N,81202446,-6.419861683357132,39.55592139735189,10.050.119.27.1921438QD2812S,24.0,29.0,26.0,26.0,,0.0,1.0,2.0,27.0,25.0,17.0,30.0,28.0
1229,10139139,LAS ERAS 4-F,DOMESTICO,LAS ERAS,4.0,F,C30099,-6.418712051255401,39.55115169230213,10.050.139.4.2016104QD2821N,2.0,35.0,16.0,17.0,,32.0,39.0,41.0,7.0,2.0,5.0,13.0,16.0
1230,10139331,NUEVA 8,DOMESTICO,NUEVA,8.0,S/N,MT2518917,-6.421584173006986,39.55943543448718,10.050.105.8.1725010QD2812N,14.0,41.0,34.0,33.0,,0.0,0.0,0.0,1.0,15.0,33.0,33.0,27.0
1231,10154113,"SOLEDAD, RDA. 23 _4",COMERCIAL,SOLEDAD,23.0,_4,11019849,-6.422825111317286,39.55942424411238,10.050.52.23.1726614QD2812N,4.0,5.0,22.0,12.0,,3.0,6.0,14.0,20.0,3.0,6.0,18.0,4.0
1232,10172742,LARGA ALTA 63 2º IZQDA.,DOMESTICO,LARGA ALTA,63.0,2º-IZQDA.,17056951,-6.417696793709111,39.55770685434867,10.050.39.63.2123545QD2822S,25.0,28.0,29.0,23.0,,0.0,2.0,1.0,54.0,17.0,18.0,25.0,17.0
1233,10172969,AV.EJIDO DE ABAJO 78,DOMESTICO,EJIDO DE ABAJO,78.0,S/N,M040664,-6.417377803369353,39.562092269291526,10.050.176.78.2027503QD2822N,35.0,48.0,56.0,43.0,,27.0,29.0,31.0,31.0,32.0,38.0,43.0,39.0
1234,10177127,SANGUINO 69,DOMESTICO,SANGUINO,69.0,S/N,17-306909,-6.418869431058435,39.556323622611124,10.050.91.69.2021058QD2822S,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1235,10193035,AV.EJIDO DE ABAJO 26,DOMESTICO,EJIDO DE ABAJO,26.0,S/N,J19IA010969V,-6.416740548428362,39.560071784297456,10.050.176.26.2125615QD2822N,7.0,1.0,6.0,22.0,,1.0,2.0,6.0,5.0,1.0,1.0,11.0,0.0
1236,10193121,SANTIAGO 20,DOMESTICO,SANTIAGO,20.0,S/N,58683198,-6.419579515674118,39.560447877930514,10.050.32.20.1925222QD2812N,51.0,5.0,38.0,38.0,,36.0,44.0,50.0,46.0,42.0,43.0,60.0,48.0
1237,10193879,ISABEL GARCIA DE LA VEGA 10 A,OBRAS,ISABEL GARCIA DE LA VEGA,10.0,A,18-050087,-6.41941707139925,39.55824463112524,10.050.94.10.1924414QD2812S,9.0,15.0,12.0,15.0,,2.0,31.0,10.0,7.0,2.0,0.0,28.0,7.0
1238,10215050,MALVINAS 89,DOMESTICO,MALVINAS,89.0,S/N,J16LB501957Y,-6.418611265450595,39.55332909504443,10.050.130.89.2018208QD2821N,0.0,91.0,39.0,46.0,,2.0,1.0,6.0,3.0,0.0,1.0,5.0,24.0
1239,10221604,LARGA ALTA 77 2º,DOMESTICO,LARGA ALTA,77.0,2º,I15FA099406,-6.417569190528268,39.55734764037257,10.050.39.77.2123539QD2822S,0.0,8.0,4.0,3.0,,0.0,24.0,14.0,13.0,3.0,0.0,0.0,3.0
1240,10226326,LARGA ALTA 103 B,DOMESTICO,LARGA ALTA,103.0,B,K43285,-6.417235905192588,39.55645971930298,10.050.39.103.2123526QD2822S,0.0,0.0,8.0,2.0,,10.0,10.0,2.0,1.0,0.0,0.0,3.0,2.0
1241,10226961,LARGA ALTA 90,DOMESTICO,LARGA ALTA,90.0,S/N,RI0016992450,-6.4174582992977625,39.55685177085075,10.050.39.90.2122718QD2822S,0.0,17.0,4.0,8.0,,0.0,0.0,0.0,0.0,0.0,16.0,12.0,9.0
1242,10251236,LARGA BAJA 87,OBRAS,LARGA BAJA,87.0,S/N,Y15FA099396L,-6.419042638610576,39.56216361359166,10.050.41.87.1927304QD2812N,0.0,4.0,4.0,1.0,,7.0,7.0,10.0,8.0,9.0,11.0,13.0,8.0
1243,10257096,LARGA BAJA 33 1º,DOMESTICO,LARGA BAJA,33.0,1º,17-076677,-6.418547507855331,39.56070897723854,10.050.41.33.2026605QD2822N,16.0,20.0,18.0,17.0,,1.0,0.0,19.0,7.0,1.0,1.0,17.0,5.0
1244,10321686,CORTES 4,OBRAS,CORTES,4.0,S/N,A13IB001978F,-6.4193259914641745,39.56074376032676,10.050.72.4.1926303QD2812N,0.0,27.0,1.0,11.0,,37.0,43.0,49.0,47.0,57.0,29.0,0.0,1.0
1245,10321712,BARRIONUEVO ALTO 68 B,DOMESTICO,BARRIONUEVO ALTO,68.0,B,61307873,-6.416919506326941,39.55717015395365,10.050.70.68.2123563QD2822S,0.0,62.0,33.0,26.0,,0.0,1.0,21.0,2.0,0.0,4.0,18.0,0.0
1246,10344944,"CHARCA, RDA. 16 2º-B",DOMESTICO,CHARCA,16.0,2º-B,18-197677,-6.421891731303333,39.55690320500681,10.050.8.16.1723513QD2812S,0.0,29.0,16.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1247,10348482,LARGA BAJA 56,DOMESTICO,LARGA BAJA,56.0,S/N,Z20803078,-6.418617588516713,39.561385819707276,10.050.41.56.2027107QD2822N,16.0,15.0,31.0,14.0,,14.0,16.0,19.0,17.0,12.0,1.0,40.0,20.0
1248,10367033,BARRIONUEVO ALTO 68 A,DOMESTICO,BARRIONUEVO ALTO,68.0,A,J16LB501956X,-6.416919506326941,39.55717015395365,10.050.70.68.2123563QD2822S,0.0,24.0,22.0,29.0,,0.0,1.0,21.0,2.0,0.0,4.0,18.0,0.0
1249,10370395,PS.EXTREMADURA SN URB-2-JA-AYT,MUNICIPAL,EXTREMADURA URB-,2.0,JA-AYT,Y15FA099401R,-6.417263817802077,39.55534102023357,10.050.9.2.2120502QD2822S,0.0,1.0,2.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,10370413,PS.EXTREMADURA SN URB-3-JA-AYT,MUNICIPAL,EXTREMADURA URB-,3.0,JA-AYT,Y15FA099411T,-6.416852887099881,39.555300532813554,10.050.9.3.2220803QD2822S,0.0,1.0,4.0,1.0,,29.0,35.0,28.0,19.0,21.0,20.0,21.0,16.0
1251,10370430,PS.EXTREMADURA SN URB-4-JA-AYT,MUNICIPAL,EXTREMADURA URB-,4.0,JA-AYT,Y15FA099410S,-6.417236958794313,39.55525259224703,10.050.9.4.2120503QD2822S,0.0,2.0,5.0,1.0,,26.0,23.0,30.0,25.0,29.0,27.0,33.0,25.0
1252,10383676,EJIDO MARTIRES 54,OBRAS,EJIDO MARTIRES,54.0,S/N,190235829-A,-6.416490604848556,39.55802730291009,10.050.48.54.2223807QD2822S,14.0,16.0,15.0,13.0,,57.0,45.0,47.0,46.0,40.0,45.0,48.0,47.0
1253,10385739,SANTIAGO 9,DOMESTICO,SANTIAGO,9.0,S/N,61616136,-6.419629123704321,39.56007061880863,10.050.32.9.1925811QD2812N,0.0,6.0,0.0,0.0,,10.0,16.0,11.0,12.0,0.0,0.0,0.0,1.0
1254,10400776,LARGA BAJA 59,DOMESTICO,LARGA BAJA,59.0,S/N,M323179,-6.418745502008691,39.5615080290765,10.050.41.59.1927318QD2812N,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
1255,10418275,LARGA ALTA 5,COMERCIAL,LARGA ALTA,5.0,S/N,1149322,-6.41833249210178,39.559885583349455,10.050.41.5.2026619QD2822N,0.0,4.0,5.0,5.0,,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0
